t[s],a[g]
17.52,0.04827716981
17.54,0.008730248084
17.56,-0.04219288921
17.58,-0.04764792537
17.6,-0.06838446447
17.62,-0.02169130231
17.64,0.00635446856
17.66,-0.02911207861
17.68,0.05390022184
17.7,0.07799083572
17.72,0.09244837998
17.74,0.126677618
17.76,0.09640596675
17.78,0.1090216373
17.8,0.09083460584
17.82,0.04518186748
17.84,0.04875999894
17.86,0.03084811531
17.88,0.04116266414
17.9,0.06879147749
17.92,0.06805610454
17.94,0.06753782975
17.96,0.09448445976
17.98,0.08949653265
18.0,0.03792880112
18.02,0.03166683845
18.04,-0.03135161065
18.06,-0.07281692415
18.08,-0.01840523818
18.1,-0.02602112497
18.12,0.005059588457
18.14,0.04705511975
18.16,0.02228672251
18.18,0.05443152246
18.2,0.03977676874
18.22,0.02591812516
18.24,0.04122801465
18.26,0.004937609498
18.28,-0.01567008036
18.3,-0.04362865945
18.32,-0.09486916554
18.34,-0.1265884911
18.36,-0.1082723948
18.38,-0.07774977557
18.4,-0.1105309135
18.42,-0.1214949474
18.44,-0.1506163965
18.46,-0.1956564007
18.48,-0.196327922
18.5,-0.2618424108
18.52,-0.279747415
18.54,-0.2876119669
18.56,-0.3439044541
18.58,-0.3023711199
18.6,-0.3106670687
18.62,-0.3285180122
18.64,-0.3022328712
18.66,-0.2968401938
18.68,-0.2075616373
18.7,-0.1744400638
18.72,-0.1814623769
18.74,-0.1558904956
18.76,-0.184622212
18.78,-0.167511135
18.8,-0.1589753957
18.82,-0.1356453176
18.84,-0.03925539947
18.86,0.004858805953
18.88,0.03768030664
18.9,0.05701274899
18.92,0.08224155075
18.94,0.1168547462
18.96,0.1307451247
18.98,0.1810221544
19.0,0.1975425891
19.02,0.2409531676
19.04,0.2846617145
19.06,0.2281831371
19.08,0.2270762639
19.1,0.213608957
19.12,0.1979360558
19.14,0.226438458
19.16,0.2148708806
19.18,0.2273057541
19.2,0.194885298
19.22,0.1240701737
19.24,0.08439017578
19.26,0.02976235644
19.28,0.0107456405
19.3,-0.01512508823
19.32,-0.0234200255
19.34,-0.02869899786
19.36,-0.0606361942
19.38,-0.05934628266
19.4,-0.0858858002
19.42,-0.09477538603
19.44,-0.1089754958
19.46,-0.169995311
19.48,-0.156739243
19.5,-0.1818678365
19.52,-0.2308144606
19.54,-0.2484380076
19.56,-0.278070853
19.58,-0.2268985524
19.6,-0.1858526551
19.62,-0.1383711959
19.64,-0.07830036106
19.66,-0.09850238474
19.68,-0.07537091765
19.7,-0.08400162759
19.72,-0.07632864227
19.74,0.009855554827
19.76,0.05525763043
19.78,0.1404146702
19.8,0.1776901566
19.82,0.1758405931
19.84,0.1740325187
19.86,0.09773432753
19.88,0.08475877673
19.9,0.0786553185
19.92,0.06383449925
19.94,0.1066809708
19.96,0.143076603
19.98,0.2193462487
