f[Hz],a[cm/s^2]
1.537734206,69.15597921
1.542710692,114.9123109
1.547687178,99.25364725
1.552663664,89.92978658
1.55764015,98.95789441
1.562616636,88.93804627
1.567593122,121.4432168
1.572569609,175.8551385
1.577546095,271.4648762
1.582522581,320.0841922
1.587499067,316.2585998
1.592475553,264.7214573
1.597452039,281.9114182
1.602428525,244.8769355
1.607405011,218.5422716
1.612381497,156.6276168
1.617357984,174.8140174
1.62233447,178.3539734
1.627310956,210.905092
1.632287442,233.8100158
1.637263928,232.6578044
1.642240414,207.4917784
1.6472169,170.6774799
1.652193386,146.6111017
1.657169872,129.2502847
1.662146358,129.8715885
1.667122845,153.8268333
1.672099331,152.087574
1.677075817,121.827482
1.682052303,125.5790163
1.687028789,144.9136515
1.692005275,149.6773284
1.696981761,159.1462753
1.701958247,159.9387576
1.706934733,106.5951782
1.711911219,87.33093234
1.716887706,107.8468027
1.721864192,156.795467
1.726840678,190.0198359
1.731817164,206.0034977
1.73679365,205.5615138
1.741770136,184.3477756
1.746746622,174.6430119
1.751723108,194.1400888
1.756699594,226.6837229
1.761676081,241.1824859
1.766652567,235.8782774
1.771629053,209.0753957
1.776605539,188.7735422
1.781582025,175.7440203
1.786558511,164.5594992
1.791534997,148.3711626
1.796511483,118.8810065
1.801487969,96.52515157
1.806464455,86.02102411
1.811440942,107.4638799
1.816417428,133.1033033
1.821393914,136.6364253
1.8263704,137.4496744
1.831346886,193.7700295
1.836323372,201.7397106
1.841299858,199.3790324
1.846276344,224.0342346
1.85125283,257.0114258
1.856229316,279.7394816
1.861205803,271.3725109
1.866182289,270.1586195
1.871158775,247.4116674
1.876135261,226.7911404
1.881111747,197.8225499
1.886088233,167.2556423
1.891064719,124.6334687
1.896041205,77.46068992
1.901017691,107.5019565
1.905994178,83.99076434
1.910970664,96.07520073
1.91594715,95.67139189
1.920923636,83.64798667
1.925900122,82.10557046
1.930876608,65.85002133
1.935853094,71.31541949
1.94082958,88.37968103
1.945806066,70.67475867
1.950782552,49.95404903
1.955759039,31.6725512
1.960735525,17.08164693
1.965712011,7.317160562
1.970688497,20.45839228
1.975664983,39.17873296
1.980641469,45.21206794
1.985617955,27.0427382
1.990594441,9.097311461
1.995570927,44.18378658
2.000547413,66.20101873
2.0055239,34.1950056
2.010500386,25.78498935
2.015476872,11.65504758
2.020453358,16.94463805
2.025429844,29.43379151
2.03040633,46.05991257
2.035382816,66.28931544
2.040359302,55.91490433
2.045335788,57.62302331
